date,channel,impressions,clicks,conversions,cost,revenue,companies_observed,ctr,conversion_rate,cpa,roas,profit,profit_margin
2026-01-01,Content,2260,139,1,980.11,274.9,6,0.061504424778761065,0.007194244604316547,980.11,0.28047872177612715,-705.21,-2.565332848308476
2026-01-01,LinkedIn Ads,2151,97,1,1228.54,258.06,6,0.04509530450953045,0.010309278350515464,1228.54,0.21005421068911065,-970.48,-3.760675811826707
2026-01-01,Outbound Sales,2069,226,1,1663.9399999999998,672.48,6,0.10923151280811987,0.004424778761061947,1663.9399999999998,0.4041491880716853,-991.4599999999998,-1.474333809183916
2026-01-01,Paid Search,3070,220,4,2182.07,2063.74,6,0.07166123778501629,0.01818181818181818,545.5175,0.945771675519117,-118.33000000000038,-0.057337649122467166
2026-01-01,Partnerships,2225,98,2,1094.47,1026.89,6,0.04404494382022472,0.02040816326530612,547.235,0.9382532184527672,-67.57999999999993,-0.0658103594347982
2026-01-01,Referral,1947,170,5,620.94,2862.46,6,0.08731381612737545,0.029411764705882353,124.18800000000002,4.609881792121621,2241.52,0.7830746979870461
2026-01-01,SEO,1615,134,2,1229.15,959.93,6,0.08297213622291022,0.014925373134328358,614.575,0.780970589431721,-269.22000000000014,-0.2804579500588586
2026-01-02,Content,1598,84,0,929.3100000000001,0.0,6,0.052565707133917394,0.0,,0.0,-929.3100000000001,
2026-01-02,LinkedIn Ads,2488,182,1,1334.29,351.92,6,0.07315112540192927,0.005494505494505495,1334.29,0.2637507588305391,-982.3699999999999,-2.7914582859740844
2026-01-02,Outbound Sales,2836,54,0,1140.62,0.0,6,0.01904090267983075,0.0,,0.0,-1140.62,
2026-01-02,Paid Search,3072,336,4,2363.5299999999997,1692.4,6,0.109375,0.011904761904761904,590.8824999999999,0.7160476067576889,-671.1299999999997,-0.39655518789884164
2026-01-02,Partnerships,1940,59,1,902.89,344.62,6,0.030412371134020618,0.01694915254237288,902.89,0.3816854766361351,-558.27,-1.6199582148453369
2026-01-02,Referral,2491,263,6,417.73,2946.95,6,0.1055800883179446,0.022813688212927757,69.62166666666667,7.054676465659636,2529.22,0.8582500551417567
2026-01-02,SEO,2006,110,2,1175.92,983.36,6,0.054835493519441676,0.01818181818181818,587.96,0.8362473637662425,-192.56000000000006,-0.1958184184835666
2026-01-03,Content,1865,112,0,713.02,0.0,6,0.060053619302949064,0.0,,0.0,-713.02,
2026-01-03,LinkedIn Ads,1798,81,0,1011.94,0.0,6,0.04505005561735261,0.0,,0.0,-1011.94,
2026-01-03,Outbound Sales,3111,94,1,907.4,655.29,6,0.030215364834458372,0.010638297872340425,907.4,0.7221622217324223,-252.11,-0.3847304246974622
2026-01-03,Paid Search,2398,102,1,1720.57,689.43,6,0.042535446205170975,0.00980392156862745,1720.57,0.40069860569462445,-1031.1399999999999,-1.4956413268932305
2026-01-03,Partnerships,1817,56,0,724.97,0.0,6,0.030820033021463952,0.0,,0.0,-724.97,
2026-01-03,Referral,3147,317,9,358.33000000000004,3851.31,6,0.10073085478233237,0.028391167192429023,39.81444444444445,10.747941841319452,3492.98,0.9069589308572927
2026-01-03,SEO,2603,105,0,814.14,0.0,6,0.040338071456012294,0.0,,0.0,-814.14,
2026-01-04,Content,1594,107,0,815.93,0.0,6,0.0671267252195734,0.0,,0.0,-815.93,
2026-01-04,LinkedIn Ads,1802,83,0,1084.79,0.0,6,0.04605993340732519,0.0,,0.0,-1084.79,
2026-01-04,Outbound Sales,2053,107,1,1350.1,784.91,6,0.05211885046273746,0.009345794392523364,1350.1,0.581371750240723,-565.1899999999999,-0.7200698169216853
2026-01-04,Paid Search,2204,130,2,1918.9,997.8599999999999,6,0.05898366606170599,0.015384615384615385,959.45,0.5200166762207514,-921.0400000000002,-0.9230152526406513
2026-01-04,Partnerships,2586,121,1,916.84,709.25,6,0.046790409899458624,0.008264462809917356,916.84,0.7735809955935604,-207.59000000000003,-0.2926894606979204
2026-01-04,Referral,3472,358,7,476.01,3327.14,6,0.10311059907834101,0.019553072625698324,68.00142857142858,6.989643074725321,2851.13,0.8569311781289637
